Слон; Самое крупное наземное животное
Тигр; Большая кошка
Дельфин; Морской артист, известный своей акробатикой
Кенгуру; Животное, которое прыгает на задних лапах
Фламинго; Птица, стремящаяся к малым водоёмам и известная своим балансом
Медведь; Большое млекопитающее, часто ассоциируется с лесами
Пингвин; Птица, которая не может летать, но отлично плавает
Крокодил; Рептилия с мощными челюстями, часто встречается в водоёмах
Зебра; Чёрно-белое животное
Олень; Животное с рогами, часто обитает в лесах
Кошка; Домашнее животное, известное своей грацией и независимостью
Собака; Лучший друг человека
Попугай; Яркая птица, умеющая говорить и повторять звуки
Курица; Птица, разводимая для получения яиц и мяса
Черепаха; Рептилия с твердым панцирем
Лошадь; Животное, используемое для работы на фермах
Бабочка; Красивое насекомое с яркими крыльями и короткой жизнью
Аист; Птица, которая часто ассоциируется с доставкой детей
Гепард; Самое быстрое наземное животное
Носорог; Крупное животное с одним или двумя рогами на носу
Верблюд; Животное, приспособленное к жизни в пустыне
Змея; Рептилия без ног, ползающая по земле
Снегирь; Птица с ярким красным животом
Синица; Мелкая птица с яркими расцветками, часто встречается в садах
Морская звезда; Морское существо с пятью или более конечностями
Чайка; Птица, часто видимая на побережье моря
Таракан; Насекомое, известное своей выносливостью и способностью выживать в сложных условиях
Крыса; Мелкий грызун, часто ассоциируется с городскими условиями
Голубь; Птица, символ мира, часто встречается в городах
Лягушка; Амфибия с гладкой кожей, кто издает характерные звуки
Обезьяна; Умное животное, родственник человека, известное своей ловкостью
Морж; Большое морское млекопитающее с длинными бивнями
Лосось; Рыба, известная своей миграцией из моря в реки для размножения
