Яблоко; Красный или зеленый фрукт
Морковь; Оранжевый корнеплод
Паста; Итальянское блюдо из муки
Шоколад; Сладость из какао
Хлеб; Основной продукт на столе
Торт; Сладкое угощение на праздник
Яйцо; Продукт, который часто варят или жарят
Молоко; Напиток белого цвета
Курица; Птица, которая часто используется для приготовления блюд
Пицца; Итальянское блюдо с начинкой
Банан; Желтый фрукт с мягкой мякотью
Авокадо; Зелёный фрукт, популярный в салатах
Капуста; Листовой овощ, бывает белокочанной и красной
Кофе; Бодрящий напиток с ярким вкусом
Гречка; Крупа, популярная в русской кухне
Арбуз; Летний фрукт с зеленой коркой
Мясо; Продукт, получаемый от животных
Салат; Блюдо из свежих овощей
Болгарский перец; Яркий овощ, используется в салатах
Огурец; Зеленый хрустящий овощ
Лимон; Цитрусовый фрукт с кислым вкусом
Ириски; Сладости, которые тянутся
Пудинг; Десерт на основе молока и сахара
Каша; Блюдо из вареных злаков
Блины; Тонкие лепешки из теста
Коктейль; Напиток, состоящий из разных ингредиентов
Фрукты; Сладкие плоды деревьев и кустарников
Чеснок; Пряность с острым вкусом
Сливочное масло; Продукт для готовки и выпечки
Пюре; Овощное или фруктовое пюре, часто из картофеля
Чипсы; Хрустящий закуску из картофеля
Перчик; Овощ с острым или сладким вкусом
Крыжовник; Ягода, часто используется для варенья
Креветки; Морепродукты, которые часто жарят или отваривают
Свекла; Корнеплод яркого
Капучино; Кофейный напиток с молочной пенкой
